iter	Passed	Remaining
412	3454	4909
413	3461	4900
414	3469	4890
415	3476	4880
416	3484	4871
417	3491	4861
418	3499	4852
419	3507	4843
420	3515	4835
421	3524	4826
422	3532	4818
423	3540	4809
424	3547	4799
425	3555	4790
426	3564	4782
427	3573	4775
428	3581	4767
429	3589	4758
430	3598	4750
431	3606	4742
432	3614	4732
433	3622	4724
434	3630	4715
435	3637	4705
436	3646	4698
437	3654	4688
438	3660	4678
439	3668	4668
440	3674	4658
441	3681	4647
442	3688	4638
443	3696	4628
444	3703	4619
445	3710	4608
446	3716	4598
447	3723	4587
448	3729	4576
449	3736	4566
450	3743	4556
451	3750	4547
452	3757	4536
453	3764	4526
454	3770	4516
455	3777	4506
456	3785	4497
457	3792	4488
458	3799	4478
459	3806	4468
460	3813	4458
461	3819	4448
462	3826	4438
463	3833	4428
464	3840	4418
465	3846	4408
466	3854	4398
467	3861	4389
468	3868	4380
469	3876	4371
470	3883	4361
471	3890	4352
472	3898	4343
473	3907	4336
474	3915	4327
475	3924	4320
476	3932	4311
477	3941	4303
478	3950	4297
479	3961	4291
480	3971	4284
481	3979	4276
482	3989	4270
483	3998	4262
484	4006	4253
485	4014	4245
486	4022	4237
487	4030	4228
488	4038	4220
489	4046	4211
490	4054	4203
491	4063	4196
492	4072	4188
493	4080	4179
494	4089	4171
495	4097	4163
496	4106	4155
497	4114	4147
498	4122	4139
499	4131	4131
500	4141	4124
501	4149	4116
502	4157	4108
503	4166	4099
504	4175	4092
505	4183	4084
506	4192	4076
507	4200	4067
508	4208	4059
509	4215	4050
510	4223	4042
511	4232	4034
512	4240	4025
513	4248	4017
514	4257	4009
515	4264	4000
516	4273	3992
517	4282	3984
518	4291	3976
519	4300	3969
520	4309	3961
521	4318	3954
522	4326	3945
523	4333	3936
524	4341	3928
525	4350	3920
526	4358	3912
527	4367	3904
528	4376	3896
529	4384	3887
530	4391	3878
531	4400	3870
532	4408	3862
533	4415	3853
534	4423	3844
535	4430	3835
536	4437	3825
537	4444	3816
538	4451	3807
539	4458	3797
540	4465	3788
541	4472	3779
542	4479	3770
543	4486	3760
544	4493	3751
545	4500	3742
546	4507	3732
547	4514	3723
548	4521	3714
549	4528	3705
550	4534	3695
551	4542	3686
552	4550	3678
553	4557	3669
554	4564	3660
555	4572	3651
556	4579	3641
557	4586	3632
558	4594	3624
559	4603	3616
560	4611	3608
561	4617	3598
562	4625	3590
563	4632	3581
564	4640	3572
565	4647	3563
566	4654	3554
567	4662	3545
568	4671	3538
569	4679	3529
570	4686	3521
571	4693	3512
572	4701	3503
573	4708	3494
574	4715	3485
575	4724	3477
576	4731	3468
577	4738	3459
578	4760	3461
579	4774	3457
580	4789	3454
581	4804	3450
582	4818	3446
583	4829	3439
584	4840	3434
585	4852	3428
586	4862	3421
587	4873	3414
588	4884	3408
589	4894	3401
590	4903	3393
591	4912	3385
592	4920	3377
593	4928	3368
594	4935	3359
595	4941	3349
596	4948	3340
597	4955	3331
598	4962	3321
599	4970	3313
600	4978	3305
601	4986	3296
602	4993	3287
603	5000	3278
604	5007	3269
605	5015	3260
606	5022	3251
607	5029	3242
608	5036	3233
609	5043	3224
610	5050	3215
611	5058	3206
612	5065	3198
613	5072	3189
614	5080	3180
615	5086	3170
616	5093	3161
617	5102	3153
618	5109	3145
619	5117	3136
620	5124	3127
621	5132	3119
622	5140	3110
623	5148	3102
624	5157	3094
625	5165	3086
626	5173	3077
627	5180	3068
628	5188	3060
629	5196	3051
630	5205	3043
631	5214	3036
632	5222	3027
633	5229	3019
634	5238	3011
635	5246	3002
636	5253	2993
637	5262	2985
638	5270	2977
639	5278	2969
640	5285	2960
641	5292	2951
642	5299	2942
643	5306	2933
644	5312	2924
645	5319	2914
646	5325	2905
647	5332	2896
648	5339	2887
649	5346	2878
650	5353	2869
651	5359	2860
652	5366	2851
653	5372	2842
654	5379	2833
655	5387	2825
656	5394	2816
657	5402	2807
658	5409	2799
659	5417	2791
660	5426	2782
661	5434	2774
662	5441	2765
663	5448	2757
664	5456	2748
665	5464	2740
666	5473	2732
667	5481	2724
668	5488	2715
669	5496	2707
670	5504	2698
671	5511	2690
672	5519	2681
673	5528	2673
674	5536	2665
675	5551	2660
676	5559	2652
677	5567	2643
678	5575	2635
679	5582	2627
680	5590	2618
681	5598	2610
682	5606	2602
683	5615	2594
684	5624	2586
685	5632	2578
686	5640	2569
687	5649	2562
688	5658	2554
689	5666	2545
690	5673	2537
691	5681	2528
692	5689	2520
693	5696	2511
694	5704	2503
695	5711	2494
696	5719	2486
697	5727	2477
698	5734	2469
699	5742	2460
700	5749	2452
701	5756	2443
702	5764	2435
703	5771	2426
704	5779	2418
705	5787	2409
706	5794	2401
707	5801	2392
708	5808	2384
709	5818	2376
710	5826	2368
711	5834	2360
712	5841	2351
713	5849	2342
714	5855	2334
715	5863	2325
716	5870	2317
717	5879	2309
718	5886	2300
719	5893	2291
720	5900	2283
721	5908	2275
722	5915	2266
723	5922	2257
724	5929	2249
725	5936	2240
726	5944	2232
727	5952	2223
728	5958	2215
729	5965	2206
730	5971	2197
731	5978	2188
732	5985	2180
733	5991	2171
734	5998	2162
735	6005	2154
736	6013	2146
737	6021	2137
738	6028	2129
739	6037	2121
740	6044	2112
741	6052	2104
742	6060	2096
743	6067	2087
744	6074	2079
745	6082	2071
746	6090	2062
747	6097	2054
748	6104	2045
749	6112	2037
750	6119	2028
751	6125	2020
752	6132	2011
753	6139	2002
754	6146	1994
755	6152	1985
756	6159	1977
757	6166	1968
758	6172	1960
759	6179	1951
760	6186	1942
761	6193	1934
762	6200	1925
763	6208	1917
764	6215	1909
765	6222	1900
766	6228	1892
767	6235	1883
